text_customer,text_uber,intent,escalate
@Uber_Support Yo what’s with this $300 charge? I needed an Uber and this Uber driver never even showed to pick me up? How am I getting charged for 1. A ride I never took &amp; 2. A mess I couldn’t have made. Tried to make a simple correction and then y’all charged me more?? https://t.co/DUtC7SKKut,"@233326 We apologize for the trouble! Send us a note here, https://t.co/wW2bTlNcsR, and our team will be in touch.",fare_charge,True
@Uber_Support The link takes me to driver support?,"@694280 Sorry for that, Olivia! Please send us a note at https://t.co/o056uE8sfv and a member of our team will follow up further.",support_followup,False
@Uber_Support Cancellation is fine. He didn't even brother to notify me . I called him myself.,@650736 Please connect with us at https://t.co/593jusCquh and we'll be happy to follow up.,ride_booking_cancellation,False
@115873 can someone please explain to me how I can get ahold of uber I tried to email I'm not getting any responses back at all,@396222 We're here to help. We just sent you a DM.,support_followup,False
@Uber_Support why is it that I get fined $5 if I cancel an Uber but get nothing in return when one wastes 15 minutes of my time...,@376388 Here to help! Please send us a note via https://t.co/593jusCquh so we can assist.,ride_booking_cancellation,False
@162763 @115877 @148768 same!!! three ppl in my office have had it cancelled :/,"@693640 We're sorry, and we're working hard to sort a technical issue caused by high demand. Please doughnut worry, there will still be plenty of time to order. If you're not immediately connected, do try again.",ride_booking_cancellation,False
@Uber_Support What's a good EMAIL addy to reach out for support for an issue I cant find amongst the options on web or app please? Thanks!,@165136 In-app is the best way to connect! Please let us know how we can help at https://t.co/SjsQQ8ofRq and we'll follow up.,support_followup,False
@115877 Justice https://t.co/paIRt3qAIf,@764193 Sorry to hear that! Can you please send us a DM (direct messages) of your email address so we can connect?,support_followup,False
"I had an awful experience with @115873 tonight, @Uber_Support. A driver left me stood out in the rain for ages, ignored my attempts to contact him and then cancelled my ride -- AND *I* GET A £4 BLOODY CANCELLATION FEE?! Absolutely unfair.","@448979 Sorry to hear this was your experience, Vince. Send us a note at https://t.co/QsI1vsvcif so our team can connect.",driver_issue,True
@Uber_Support @115873  How is this fare to a customer... to charge them $180.66 for a 10 min ride... the original price was $11.33... https://t.co/fPUPOYffNX,@561005 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,fare_charge,True
@Uber_Support My black food bag got stolen. Went all the way to remote roseville mn greenlight and greeter said they never carried them.,"@417619 We'll follow up with your DM, Michael.",lost_item,True
@Uber_Support Thats not an acceptable answer to an ongoing critical safety issue. This happens thousands of times a day just on the Boston region.,@555709 Riders and drivers are expected to meet local regulations when a child's seat occupies the car. Check out https://t.co/x7mMDKnnBk for info.,uber_eats,True
@115873 outrageous you have just charged me 5 pounds for a cancelled ride and we will waiting for you!,"@196722 Sorry for the trouble! Send us a note here, https://t.co/h840Iouehc, and our team will be in touch.",ride_booking_cancellation,False
Wish I could give Uber drivers 5 stars while simultaneously giving the @Uber_Support app a 0 star rating for giving the wrong directions 🙄,@117660 We can take a look! Send us a note via https://t.co/QDn91HzZV0 so our team can get in touch.,support_followup,False
"@Uber_Support, Can't log into my or husband's account because neither your SMS or Voice 2 Factor are working. Now what?",@404837 We're here to help! Send us a DM with your email address so we can connect.,support_followup,False
